date,ticker,direction,qty,entry_fill,exit_fill,exit_reason,gross_pnl,txn_costs,net_pnl,pnl_%,confidence,expected_ret_%,leverage_used,capital_after
2026-04-02,BOSCHLTD,LONG,1,31239.37,31698.45,TAKE_PROFIT,459.08,33.77,425.31,6.804,1.0,1.59,5.0,10425.31
2026-04-06,LT,LONG,14,3639.09,3692.57,TAKE_PROFIT,748.7,55.07,693.63,6.804,0.8466,0.61,5.0,11118.94
2026-04-06,SIEMENS,LONG,18,2997.8,2981.92,STOP_LOSS,-285.91,57.63,-343.54,-3.182,0.8455,0.663,5.0,10775.4
2026-04-07,LT,LONG,14,3717.72,3772.35,TAKE_PROFIT,764.87,56.26,708.61,6.804,0.7315,0.586,5.0,11484.01
2026-04-07,SHRIRAMFIN,LONG,62,918.78,932.28,TAKE_PROFIT,837.12,61.57,775.54,6.804,0.7079,0.509,5.0,12259.55
2026-04-07,DIVISLAB,LONG,10,5850.25,5936.23,TAKE_PROFIT,859.72,63.24,796.49,6.804,0.7025,0.607,5.0,13056.04
2026-04-08,CHOLAFIN,LONG,42,1546.26,1538.07,STOP_LOSS,-344.1,69.36,-413.46,-3.182,0.7004,0.528,5.0,12642.58
2026-04-08,ULTRACEMCO,LONG,5,11523.46,11692.8,TAKE_PROFIT,846.71,62.28,784.44,6.804,0.6947,0.589,5.0,13427.02
2026-04-08,BPCL,LONG,225,297.19,295.61,STOP_LOSS,-354.3,71.41,-425.71,-3.182,0.6687,1.765,5.0,13001.31
2026-04-09,HAL,LONG,16,4015.7,4074.72,TAKE_PROFIT,944.2,69.45,874.75,6.804,0.7019,0.962,5.0,13876.06
2026-04-09,CHOLAFIN,LONG,45,1530.56,1553.05,TAKE_PROFIT,1012.15,74.45,937.71,6.804,0.6432,6.242,5.0,14813.77
2026-04-10,NESTLEIND,LONG,59,1244.87,1238.28,STOP_LOSS,-389.16,78.44,-467.6,-3.182,0.646,0.521,5.0,14346.16
2026-04-10,CUMMINSIND,LONG,14,5105.13,5078.08,STOP_LOSS,-378.69,76.33,-455.03,-3.182,0.6421,1.046,5.0,13891.14
2026-04-10,TVSMOTOR,LONG,18,3809.64,3789.46,STOP_LOSS,-363.34,73.24,-436.57,-3.182,0.615,1.264,5.0,13454.57
2026-04-13,ADANIENSOL,LONG,57,1163.6,1180.7,TAKE_PROFIT,974.68,71.69,902.99,6.804,0.6328,0.85,5.0,14357.55
2026-04-13,HAL,LONG,17,4112.43,4172.87,TAKE_PROFIT,1027.38,75.57,951.81,6.804,0.6216,0.717,5.0,15309.37
2026-04-13,HINDALCO,LONG,78,979.29,993.68,TAKE_PROFIT,1122.51,82.57,1039.95,6.804,0.6128,2.415,5.0,16349.32
2026-04-15,TMPV,LONG,221,350.81,355.96,TAKE_PROFIT,1139.31,83.8,1055.51,6.804,0.633,0.504,5.0,17404.83
2026-04-15,HAL,LONG,20,4152.25,4213.26,TAKE_PROFIT,1220.39,89.76,1130.62,6.804,0.6287,0.709,5.0,18535.45
2026-04-16,HAL,LONG,21,4337.6,4401.34,TAKE_PROFIT,1338.61,98.46,1240.15,6.804,0.6352,0.728,5.0,19775.6
2026-04-16,HINDALCO,LONG,95,1032.76,1047.94,TAKE_PROFIT,1441.81,106.05,1335.76,6.804,0.6203,0.564,5.0,21111.36
2026-04-17,ADANIENSOL,LONG,85,1237.57,1231.01,STOP_LOSS,-557.37,112.35,-669.71,-3.182,0.6101,0.699,5.0,20441.64
2026-04-17,HAL,LONG,23,4376.21,4353.03,STOP_LOSS,-533.31,107.5,-640.81,-3.182,0.6054,0.566,5.0,19800.84
2026-04-24,ADANIENSOL,LONG,71,1380.46,1400.75,TAKE_PROFIT,1440.35,105.94,1334.41,6.804,0.6057,2.363,5.0,21135.24
